defect_id,audit_id,timestamp_sec,gps_lat,gps_lon,param_id,param_name,defect_type,severity,confidence,description,evidence_frame_path
AUD-20260910-151256-DEF-001,AUD-20260910-151256,0.0,18.5204,73.8567,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_001_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-002,AUD-20260910-151256,0.0,18.5204,73.8567,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_002_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-003,AUD-20260910-151256,0.5,18.520401999999997,73.8567015,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_003_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-004,AUD-20260910-151256,0.5,18.520401999999997,73.8567015,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_004_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-005,AUD-20260910-151256,1.0,18.520404,73.85670300000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_005_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-006,AUD-20260910-151256,1.0,18.520404,73.85670300000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_006_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-007,AUD-20260910-151256,1.5,18.520405999999998,73.8567045,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.35,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_007_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-008,AUD-20260910-151256,1.5,18.520405999999998,73.8567045,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_008_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-009,AUD-20260910-151256,2.0,18.520408,73.856706,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_009_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-010,AUD-20260910-151256,2.0,18.520408,73.856706,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_010_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-011,AUD-20260910-151256,2.5,18.52041,73.8567075,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_011_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-012,AUD-20260910-151256,2.5,18.52041,73.8567075,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_012_MISSING_SIGNAGE.jpg
